Bug.no	Type	Desc	Assigned	State	Tags							
710771	Bug	DD bug: QA Bug | KOSX | Other Brand | amerititledowntown.com | news-events page | DD issues on News & Events page	R, Akash <Akash.R@fnf.com>	New	The description of the bug was not matching the title so discussed with Vinay							
710795	Bug	DD bug: QA Bug | KOSX | Other Brand | amerititledowntown.com | news-events page | DD issues on Contact page	R, Akash <Akash.R@fnf.com>	New	The description of the bug was not matching the title so discussed with Vinay							
718559	Bug	Update Browsing tab naming format	R, Akash <Akash.R@fnf.com>	Resolved								
710730	Bug	Accordion issues	R, Akash <Akash.R@fnf.com>	Resolved								
710731	Bug	Accordion font colouring issue	R, Akash <Akash.R@fnf.com>	Resolved								
710712	Bug	Link navigation issue	R, Akash <Akash.R@fnf.com>	Resolved								
710304	Bug	Employee description and Employee photo are overlapping each other	R, Akash <Akash.R@fnf.com>	Resolved								
710123	Bug	Button formatting issue	R, Akash <Akash.R@fnf.com>	Resolved								
												
												
ID	Work Item Type	Title	Assigned To	State	Tags							
710011	Bug	QA Bug | KOSX | Other Brand | amerititledowntown.com | Home Page | Padding and font format issues	R, Akash <Akash.R@fnf.com>	New	Would be completing by EOD							
710119	Bug	QA Bug | KOSX | Other Brand | amerititledowntown.com | contact  Page |  Miscellaneous issues	R, Akash <Akash.R@fnf.com>	New	Would be completing by EOD							
710228	Bug	QA Bug | KOSX | Other Brand | amerititledowntown.com | patrick-vaeth Bio page |  Make silhouette image more bigger size	R, Akash <Akash.R@fnf.com>	New	Would be completing by EOD							
710232	Bug	QA Bug | KOSX | Other Brand | amerititledowntown.com | Offices page | Header formatting and alignment issue	R, Akash <Akash.R@fnf.com>	New	Would be completing by EOD							
710266	Bug	QA Bug | KOSX | Other Brand | amerititledowntown.com | Home  page | On hovering color of the EARNEST MONEY button remains the same.	R, Akash <Akash.R@fnf.com>	New	Would be completing by EOD							
710289	Bug	Device bug: QA Bug | KOSX | Other Brand | amerititledowntown.com | Home  page | Image cropping and missing section issues	R, Akash <Akash.R@fnf.com>	New	Would be completing by EOD							
710297	Bug	Device bug: QA Bug | KOSX | Other Brand | amerititledowntown.com | Home  page | Padding and image cropping issue	R, Akash <Akash.R@fnf.com>	New	Would be completing by EOD							
710698	Bug	DD bug: QA Bug | KOSX | Other Brand | amerititledowntown.com | Home page |  Multiple Design document errors under HOME page	R, Akash <Akash.R@fnf.com>	New	Would be completing by EOD							
718683	Bug	QA Bug | KOSX | Other Brand | parkstitle.com | Home page | Misc. Issues	R, Akash <Akash.R@fnf.com>	New	This bug was created on Monday I will be working on it today along with other bugs							
718704	Bug	QA Bug | KOSX | Other Brand | parkstitle.com | title-insurance page | Misc. Issues	R, Akash <Akash.R@fnf.com>	New	This bug was created on Monday I will be working on it today along with other bugs							
718718	Bug	QA Bug | KOSX | Other Brand | parkstitle.com | recording-special-projects page | Remove unwanted hovering action	R, Akash <Akash.R@fnf.com>	New	This bug was created on Monday I will be working on it today along with other bugs							
718725	Bug	QA Bug | KOSX | Other Brand | parkstitle.com | 1031-property-exchange page | Link disappearing issue	R, Akash <Akash.R@fnf.com>	New	This bug was created on Monday I will be working on it today along with other bugs							
718776	Bug	QA Bug | KOSX | Other Brand | parkstitle.com | people page | Misc. Issues	R, Akash <Akash.R@fnf.com>	New	This bug was created on Monday I will be working on it today along with other bugs							
